date,age,total
2022-03-29,150,2
2022-03-27,6,119
2022-03-30,119,8
2022-03-28,272,12
2022-03-29,46,9
2022-03-29,142,10
2022-03-28,51,10
2022-03-31,98,11
2022-03-27,223,6
2022-03-28,195,7
2022-03-31,311,1
2022-03-27,263,1
2022-03-30,70,2
2022-03-31,16,3
2022-03-28,262,4
2022-03-30,478,1
2022-03-31,472,1
2022-03-27,7,22
2022-03-28,18,7
2022-03-28,49,8
2022-03-27,214,3
2022-03-30,509,5
2022-03-27,48,5
2022-03-31,477,3
2022-03-29,523,2
2022-03-29,361,1
2022-03-31,318,1
2022-03-28,10,2
2022-03-27,219,2
2022-03-31,196,2
2022-03-27,44,5
2022-03-28,81,2
2022-03-31,190,2
2022-03-31,474,1
2022-03-30,118,10
2022-03-29,241,2
2022-03-28,4,4
2022-03-28,240,2
2022-03-29,237,3
2022-03-27,60,6
2022-03-29,290,1
2022-03-27,19,2
2022-03-30,37,1
2022-03-29,10,1
2022-03-27,188,1
2022-03-31,570,1
2022-03-30,6,79
2022-03-28,24,23
2022-03-31,48,6
2022-03-31,480,1
2022-03-27,422,1
2022-03-30,23,1
2022-03-28,46,14
2022-03-31,40,1
2022-03-31,194,1
2022-03-29,243,1
2022-03-30,5,2
2022-03-31,358,1
2022-03-29,4,4
2022-03-29,174,1
2022-03-28,194,5
2022-03-30,193,1
2022-03-31,133,1
2022-03-31,494,1
2022-03-28,166,4
2022-03-31,134,1
2022-03-27,83,1
2022-03-29,40,2
2022-03-27,206,1
2022-03-29,221,1
2022-03-28,70,1
2022-03-27,98,1
2022-03-27,1,1596
2022-03-27,30,261
2022-03-30,503,84
2022-03-31,7,47
2022-03-31,31,5
2022-03-31,101,6
2022-03-31,102,11
2022-03-29,185,2
2022-03-29,235,2
2022-03-29,54,4
2022-03-28,45,9
2022-03-30,18,4
2022-03-29,45,5
2022-03-29,282,1
2022-03-27,38,2
2022-03-28,401,1
2022-03-28,120,1
2022-03-31,495,1
